_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP03-14.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 15.0}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-14.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-11.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 4.71}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-14.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:19.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-14.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 6.67}",2019-01-17T06:26:18.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:18.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:18.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-09.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:18.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-10.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:17.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-12.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:17.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-12.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 9.8}",2019-01-17T06:26:17.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:17.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-09.site1"", ""kpi"": ""clientCount_5GHz_band_1"", ""site"": ""RAW_site1"", ""value"": 0}",2019-01-17T06:26:16.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-09.site1"", ""kpi"": ""clientCount"", ""site"": ""RAW_site1"", ""value"": 0}",2019-01-17T06:26:16.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-09.site1"", ""kpi"": ""clientCount_5GHz"", ""site"": ""RAW_site1"", ""value"": 0}",2019-01-17T06:26:16.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-14.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 7.84}",2019-01-17T06:26:16.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-13.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 16.86}",2019-01-17T06:26:15.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:15.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-01.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 41.96}",2019-01-17T06:26:14.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:14.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-18.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 10.98}",2019-01-17T06:26:14.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP05-10.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 9.8}",2019-01-17T06:26:13.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-10.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 19.0}",2019-01-17T06:26:13.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-10.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 34.9}",2019-01-17T06:26:13.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-11.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:13.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-08.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:13.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-08.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 8.63}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-12.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.78}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-17.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-09.site1"", ""kpi"": ""clientCount_5GHz_band_1"", ""site"": ""RAW_site1"", ""value"": 2}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-09.site1"", ""kpi"": ""clientCount"", ""site"": ""RAW_site1"", ""value"": 2}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP06-09.site1"", ""kpi"": ""clientCount_5GHz"", ""site"": ""RAW_site1"", ""value"": 2}",2019-01-17T06:26:12.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
